Site Name ,FORESTUPPER
Site Number ,1
Logger ,Capacitive Water Level
Logger Serial Number ,6571


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,06/11/2016 , 21:58:48,443,60.7
2,06/11/2016 , 21:58:58,444,61.2
3,06/11/2016 , 21:59:08,435,56.8
4,06/11/2016 , 21:59:18,435,56.8
5,06/11/2016 , 21:59:28,433,55.8
6,06/11/2016 , 21:59:38,433,55.8
7,06/11/2016 , 21:59:48,433,55.8
8,06/11/2016 , 21:59:58,433,55.8
9,06/11/2016 , 22:00:08,433,55.8
10,06/11/2016 , 22:00:18,433,55.8
11,06/11/2016 , 22:00:28,433,55.8
12,06/11/2016 , 22:00:38,433,55.8
13,06/11/2016 , 22:00:48,433,55.8
14,06/11/2016 , 22:00:58,433,55.8
15,06/11/2016 , 22:01:08,433,55.8
16,06/11/2016 , 22:01:18,433,55.8
17,06/11/2016 , 22:01:28,433,55.8
18,06/11/2016 , 22:01:38,433,55.8
19,06/11/2016 , 22:01:48,433,55.8
20,06/11/2016 , 22:01:58,433,55.8
21,06/11/2016 , 22:02:08,433,55.8
22,06/11/2016 , 22:02:18,433,55.8
23,06/11/2016 , 22:02:28,433,55.8
24,06/11/2016 , 22:02:38,433,55.8
25,06/11/2016 , 22:02:48,433,55.8
26,06/11/2016 , 22:02:58,433,55.8
27,06/11/2016 , 22:03:08,433,55.8
28,06/11/2016 , 22:03:18,433,55.8
29,06/11/2016 , 22:03:28,433,55.8
30,06/11/2016 , 22:03:38,433,55.8
31,06/11/2016 , 22:03:48,433,55.8
32,06/11/2016 , 22:03:58,433,55.8
33,06/11/2016 , 22:04:08,436,57.3
34,06/11/2016 , 22:04:18,439,58.7
35,06/11/2016 , 22:04:28,439,58.7
36,06/11/2016 , 22:04:38,439,58.7
37,06/11/2016 , 22:04:48,439,58.7
38,06/11/2016 , 22:04:58,440,59.2
39,06/11/2016 , 22:05:08,440,59.2
40,06/11/2016 , 22:05:18,440,59.2
41,06/11/2016 , 22:05:28,440,59.2
42,06/11/2016 , 22:05:38,440,59.2
43,06/11/2016 , 22:05:48,440,59.2
44,06/11/2016 , 22:05:58,441,59.7
45,06/11/2016 , 22:06:08,441,59.7
46,06/11/2016 , 22:06:18,442,60.2
47,06/11/2016 , 22:06:28,442,60.2
48,06/11/2016 , 22:06:38,442,60.2
49,06/11/2016 , 22:06:48,442,60.2
50,06/11/2016 , 22:06:58,447,62.6
51,06/11/2016 , 22:07:08,447,62.6
52,06/11/2016 , 22:07:18,452,65
53,06/11/2016 , 22:07:28,452,65
54,06/11/2016 , 22:07:38,452,65
55,06/11/2016 , 22:07:48,459,68.4
56,06/11/2016 , 22:07:58,459,68.4
57,06/11/2016 , 22:08:08,459,68.4
58,06/11/2016 , 22:08:18,473,75.2
59,06/11/2016 , 22:08:28,474,75.7
60,06/11/2016 , 22:08:38,474,75.7
61,06/11/2016 , 22:08:48,492,84.5
62,06/11/2016 , 22:08:58,493,85
63,06/11/2016 , 22:09:08,493,85
64,06/11/2016 , 22:09:18,510,93.2
65,06/11/2016 , 22:09:28,511,93.7
66,06/11/2016 , 22:09:38,511,93.7
67,06/11/2016 , 22:09:48,525,100.5
68,06/11/2016 , 22:09:58,529,102.4
69,06/11/2016 , 22:10:08,530,102.9
70,06/11/2016 , 22:10:18,542,108.7
71,06/11/2016 , 22:10:28,547,111.2
72,06/11/2016 , 22:10:38,548,111.7
73,06/11/2016 , 22:10:48,565,119.9
74,06/11/2016 , 22:10:58,565,119.9
75,06/11/2016 , 22:11:08,565,119.9
76,06/11/2016 , 22:11:18,582,128.2
77,06/11/2016 , 22:11:28,582,128.2
78,06/11/2016 , 22:11:38,582,128.2
79,06/11/2016 , 22:11:48,600,136.9
80,06/11/2016 , 22:11:58,600,136.9
81,06/11/2016 , 22:12:08,600,136.9
82,06/11/2016 , 22:12:18,600,136.9
83,06/11/2016 , 22:12:28,617,145.1
84,06/11/2016 , 22:12:38,617,145.1
85,06/11/2016 , 22:12:48,634,153.4
86,06/11/2016 , 22:12:58,634,153.4
87,06/11/2016 , 22:13:08,635,153.9
88,06/11/2016 , 22:13:18,635,153.9
89,06/11/2016 , 22:13:28,652,162.1
90,06/11/2016 , 22:13:38,652,162.1
91,06/11/2016 , 22:13:48,668,169.9
92,06/11/2016 , 22:13:58,668,169.9
93,06/11/2016 , 22:14:08,669,170.4
94,06/11/2016 , 22:14:18,669,170.4
95,06/11/2016 , 22:14:28,686,178.6
96,06/11/2016 , 22:14:38,686,178.6
97,06/11/2016 , 22:14:48,703,186.9
98,06/11/2016 , 22:14:58,702,186.4
99,06/11/2016 , 22:15:08,702,186.4
100,06/11/2016 , 22:15:18,720,195.1
101,06/11/2016 , 22:15:28,718,194.2
102,06/11/2016 , 22:15:38,718,194.2
103,06/11/2016 , 22:15:48,720,195.1
104,06/11/2016 , 22:15:58,735,202.4
105,06/11/2016 , 22:16:08,735,202.4
106,06/11/2016 , 22:16:18,735,202.4
107,06/11/2016 , 22:16:28,751,210.2
108,06/11/2016 , 22:16:38,752,210.7
109,06/11/2016 , 22:16:48,768,218.4
110,06/11/2016 , 22:16:58,768,218.4
111,06/11/2016 , 22:17:08,768,218.4
112,06/11/2016 , 22:17:18,784,226.2
113,06/11/2016 , 22:17:28,784,226.2
114,06/11/2016 , 22:17:38,784,226.2
115,06/11/2016 , 22:17:48,799,233.5
116,06/11/2016 , 22:17:58,800,234
117,06/11/2016 , 22:18:08,800,234
118,06/11/2016 , 22:18:18,816,241.7
119,06/11/2016 , 22:18:28,816,241.7
120,06/11/2016 , 22:18:38,816,241.7
121,06/11/2016 , 22:18:48,831,249
122,06/11/2016 , 22:18:58,832,249.5
123,06/11/2016 , 22:19:08,832,249.5
124,06/11/2016 , 22:19:18,848,257.3
125,06/11/2016 , 22:19:28,848,257.3
126,06/11/2016 , 22:19:38,848,257.3
127,06/11/2016 , 22:19:48,863,264.6
128,06/11/2016 , 22:19:58,863,264.6
129,06/11/2016 , 22:20:08,863,264.6
130,06/11/2016 , 22:20:18,879,272.3
131,06/11/2016 , 22:20:28,879,272.3
132,06/11/2016 , 22:20:38,879,272.3
133,06/11/2016 , 22:20:48,894,279.6
134,06/11/2016 , 22:20:58,894,279.6
135,06/11/2016 , 22:21:08,894,279.6
136,06/11/2016 , 22:21:18,910,287.4
137,06/11/2016 , 22:21:28,910,287.4
138,06/11/2016 , 22:21:38,910,287.4
139,06/11/2016 , 22:21:48,926,295.1
140,06/11/2016 , 22:21:58,926,295.1
141,06/11/2016 , 22:22:08,926,295.1
142,06/11/2016 , 22:22:18,941,302.4
143,06/11/2016 , 22:22:28,941,302.4
144,06/11/2016 , 22:22:38,941,302.4
145,06/11/2016 , 22:22:48,957,310.2
146,06/11/2016 , 22:22:58,957,310.2
147,06/11/2016 , 22:23:08,957,310.2
148,06/11/2016 , 22:23:18,957,310.2
149,06/11/2016 , 22:23:28,957,310.2
150,06/11/2016 , 22:23:38,957,310.2
151,06/11/2016 , 22:23:48,444,61.2
152,06/11/2016 , 22:23:58,440,59.2
153,06/11/2016 , 22:24:08,439,58.7
154,06/11/2016 , 22:24:18,439,58.7
155,06/11/2016 , 22:24:28,445,61.7
